1.2,-4.6,-4.7,
1.2,-4.6,-4.7,
1.2,-4.6,-4.7,
1.2,-4.6,-4.7,
1.20001,-4.6,-4.7,
1.20001,-4.6,-4.70001,
1.20001,-4.6,-4.70001,
1.20001,-4.6,-4.70001,
1.20001,-4.6,-4.70001,
1.19878,-4.59998,-4.6977,
1.19878,-4.59998,-4.6977,
1.19879,-4.59998,-4.69771,
1.19879,-4.59998,-4.69771,
1.19879,-4.59998,-4.69771,
1.19879,-4.59998,-4.69771,
1.19879,-4.59998,-4.69771,
1.19879,-4.59998,-4.69771,
1.19879,-4.59998,-4.69771,
1.19756,-4.59996,-4.6954,
1.19756,-4.59996,-4.6954,
1.19756,-4.59996,-4.6954,
1.19756,-4.59996,-4.6954,
1.19756,-4.59996,-4.6954,
1.19756,-4.59996,-4.6954,
1.19756,-4.59996,-4.6954,
1.19756,-4.59996,-4.6954,
1.19756,-4.59996,-4.6954,
1.19632,-4.59995,-4.69308,
1.19632,-4.59995,-4.69308,
1.19633,-4.59995,-4.69308,
1.19633,-4.59995,-4.69308,
1.19633,-4.59995,-4.69308,
1.19633,-4.59995,-4.69308,
1.19633,-4.59995,-4.69308,
1.19633,-4.59995,-4.69308,
1.19633,-4.59995,-4.69308,
1.19508,-4.59993,-4.69074,
1.19508,-4.59993,-4.69074,
1.19509,-4.59993,-4.69075,
1.19509,-4.59993,-4.69075,
1.19509,-4.59993,-4.69075,
1.19509,-4.59993,-4.69075,
1.19509,-4.59993,-4.69075,
1.19509,-4.59993,-4.69075,
1.19509,-4.59993,-4.69075,
1.19383,-4.59991,-4.6884,
1.19384,-4.59991,-4.6884,
1.19384,-4.59991,-4.68841,
1.19384,-4.59991,-4.68841,
1.19384,-4.59991,-4.68841,
1.19384,-4.59991,-4.68841,
1.19384,-4.59991,-4.68841,
1.19384,-4.59991,-4.68841,
1.19384,-4.59991,-4.68841,
1.19258,-4.59989,-4.68604,
1.19258,-4.59989,-4.68605,
1.19258,-4.59989,-4.68605,
1.19258,-4.59989,-4.68605,
1.19258,-4.59989,-4.68605,
1.19259,-4.59989,-4.68605,
1.19259,-4.59989,-4.68605,
1.19259,-4.59989,-4.68605,
1.19259,-4.59989,-4.68605,
1.19132,-4.59987,-4.68368,
1.19132,-4.59987,-4.68368,
