0,0,0.768525,0.0099518,
0,1,0.62246,0.00202532,
1,0,0.964429,0.00150118,
1,1,0.930862,0.000303447,
0.5,1,0.824915,0.000784249,
1,0.5,0.950264,0.000675083,
0.5,0,0.904651,0.0038724,
0,0.5,0.700569,0.00449627,
0.5,0.5,0.869893,0.0017437,
0,0,0.768308,0.00995198,
0,1,0.62203,0.00202538,
1,0,0.964366,0.00150122,
1,1,0.930705,0.000303458,
0.5,1,0.824607,0.000784273,
1,0.5,0.950163,0.000675104,
0.5,0,0.904519,0.00387249,
0,0.5,0.700249,0.00449638,
0.5,0.5,0.869686,0.00174375,
0,0,0.76809,0.00995216,
0,1,0.621598,0.00202543,
1,0,0.964303,0.00150126,
1,1,0.930547,0.000303469,
0.5,1,0.824296,0.000784299,
1,0.5,0.950061,0.000675125,
0.5,0,0.904387,0.00387258,
0,0.5,0.699928,0.00449648,
0.5,0.5,0.869477,0.0017438,
0,0,0.76787,0.00995234,
0,1,0.621164,0.00202549,
1,0,0.964239,0.0015013,
1,1,0.930387,0.00030348,
0.5,1,0.823984,0.000784323,
1,0.5,0.949958,0.000675147,
0.5,0,0.904253,0.00387267,
0,0.5,0.699604,0.00449658,
0.5,0.5,0.869267,0.00174384,
0,0,0.767649,0.00995252,
0,1,0.620726,0.00202554,
1,0,0.964175,0.00150135,
1,1,0.930226,0.000303491,
0.5,1,0.823669,0.000784348,
1,0.5,0.949855,0.000675168,
0.5,0,0.904119,0.00387275,
0,0.5,0.699279,0.00449668,
0.5,0.5,0.869055,0.00174389,
0,0,0.767426,0.0099527,
0,1,0.620286,0.0020256,
1,0,0.96411,0.00150139,
1,1,0.930064,0.000303502,
0.5,1,0.823351,0.000784373,
1,0.5,0.949751,0.00067519,
0.5,0,0.903983,0.00387284,
0,0.5,0.698951,0.00449678,
0.5,0.5,0.868842,0.00174394,
0,0,0.767202,0.00995288,
0,1,0.619843,0.00202565,
1,0,0.964044,0.00150143,
1,1,0.9299,0.000303513,
0.5,1,0.823032,0.000784399,
1,0.5,0.949646,0.000675212,
0.5,0,0.903847,0.00387293,
0,0.5,0.698621,0.00449689,
0.5,0.5,0.868627,0.00174399,
0,0,0.766976,0.00995307,
0,1,0.619397,0.00202571,
1,0,0.963979,0.00150147,
1,1,0.929735,0.000303525,
0.5,1,0.82271,0.000784424,
1,0.5,0.94954,0.000675234,
0.5,0,0.90371,0.00387302,
0,0.5,0.698288,0.00449699,
0.5,0.5,0.868411,0.00174404,
0,0,0.766749,0.00995325,
0,1,0.618948,0.00202577,
1,0,0.963912,0.00150151,
1,1,0.929569,0.000303536,
